Year	Rank 1	Rank 2	Rank 3	Rank 4	Rank 5	Rank 1	Rank 2	Rank 3	Rank 4	Rank 5	
2001	Emily	Madison	Hannah	Ashley	Alexis	Jacob	Michael	Matthew	Joshua	Christopher
2002	Emily	Madison	Hannah	Emma	Alexis	Jacob	Michael	Joshua	Matthew	Ethan
2003	Emily	Emma	Madison	Hannah	Olivia	Jacob	Michael	Joshua	Matthew	Andrew
2004	Emily	Emma	Madison	Olivia	Hannah	Jacob	Michael	Joshua	Matthew	Ethan
2005	Emily	Emma	Madison	Abigail	Olivia	Jacob	Michael	Joshua	Matthew	Ethan
2006	Emily	Emma	Madison	Isabella	Ava	Jacob	Michael	Joshua	Ethan	Matthew
2007	Emily	Isabella	Emma	Ava	Madison	Jacob	Michael	Ethan	Joshua	Daniel
2008	Emma	Isabella	Emily	Olivia	Ava	Jacob	Michael	Ethan	Joshua	Daniel
2009	Isabella	Emma	Olivia	Sophia	Ava	Jacob	Ethan	Michael	Alexander	William
2010	Isabella	Sophia	Emma	Olivia	Ava	Jacob	Ethan	Michael	Jayden	William
